Name,ourReefFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
CAL 2000,0,0,0,0,0,0,0,7,208,554,637,495,432,400,313,239,245,193,196,164,128,129,103,99,67,62,38,41,18,30,20,11,9,7,5,9,2,0,0,0,1,0,0,,,,,,,,,,,,
CAL 2001,0,0,0,0,0,0,2,9,283,675,588,537,459,420,350,295,260,184,148,155,116,118,102,76,58,56,62,40,26,18,9,9,9,5,3,0,2,0,1,0,0,0,1,,,,,,,,,,,,
CAL 2002,0,0,0,0,0,0,1,10,290,807,782,759,602,399,287,195,210,153,162,125,121,113,87,81,51,67,59,51,27,15,17,5,9,4,0,1,0,0,1,1,1,0,0,,,,,,,,,,,,
CAL 2003,0,0,0,0,0,0,3,30,395,1023,961,711,611,414,370,259,246,167,129,110,75,59,72,54,57,39,23,28,22,22,8,18,8,8,3,4,3,1,0,0,0,0,0,,,,,,,,,,,,
CAL 2004,0,0,0,0,0,0,1,17,335,741,792,652,527,416,354,278,240,140,130,111,101,75,57,40,40,21,22,18,17,12,6,11,6,4,2,0,1,1,1,0,0,0,0,,,,,,,,,,,,
CAL 2005,0,0,0,0,0,0,4,15,320,794,732,585,507,393,313,246,219,164,139,117,90,77,54,62,41,38,25,17,12,10,10,10,7,5,0,1,2,0,0,0,0,0,0,,,,,,,,,,,,
CAL 2006,0,0,0,0,0,0,1,17,277,664,601,441,358,253,182,133,132,105,90,74,80,60,56,49,48,38,18,22,21,12,11,11,3,5,4,5,2,2,2,0,0,0,0,,,,,,,,,,,,
CAL 2007,0,0,0,0,0,11,241,460,662,708,665,574,486,364,272,207,184,103,82,58,35,25,18,15,8,5,10,8,8,3,3,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
CAL 2008,0,0,0,0,0,3,98,251,345,436,443,442,398,336,297,220,156,131,112,101,88,49,52,55,27,20,16,9,7,6,2,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,,,,,,,
CAL 2009,0,0,0,0,0,16,131,261,387,430,458,419,364,289,274,239,215,171,130,119,91,76,61,33,33,30,26,14,5,3,7,2,1,2,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,
CAL 2010,0,0,1,0,0,1,88,255,376,491,503,405,465,400,362,305,284,234,199,187,136,148,138,94,80,46,48,28,20,19,7,1,4,1,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,
CAL 2011,0,0,0,1,1,7,125,321,511,611,708,653,710,601,555,479,459,355,320,266,222,184,145,146,112,88,60,42,22,10,5,3,1,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
MPrec,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHYear,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
